With respect to sun
t, X, Y, Z, R
 10000.0, -81436915260.56427, -127543644341.09442, 7924183.770011434, 151325319896.4291
 10023.35796571074, -26777272941.657158, -149508114610.43427, 9111956.065801192, 151887125075.12445
 10046.71593142148, 31410056639.835953, -148299851606.64822, -66188160.98233871, 151589716094.27942
 10070.073897132217, 84759372816.68411, -124350837846.62491, -131310884.65149306, 150490197009.5849
 10093.431862842954, 124089566961.4349, -80747681170.16881, -230979991.8678193, 148048850028.6048
 10116.789828553694, 142959099804.11075, -23941454167.778816, -292521190.4958554, 144950277726.93793
 10140.147794264434, 136160999574.42242, 37303513586.15347, -175855339.4216253, 141178613309.802
 10163.50575997517, 103690270504.90726, 91365879449.82538, -26287658.8696564, 138200567350.72354
 10186.863725685907, 49957649503.6818, 127433651196.30194, 382412812.5531363, 136876763699.00287
 10210.221691396648, -14071152437.751328, 137219831470.30411, 712214640.2161748, 137941243757.4739
 10233.579657107388, -75924569712.53374, 119728177455.95216, 1236315678.9882684, 141777661284.89874
 10256.937622818125, -123806277570.50906, 79832587208.77829, 1531348821.6182883, 147321354105.66455
 10280.295588528861, -151132057413.41956, 27220834340.807846, 1547432105.1171775, 153571700343.33408
 10303.653554239601, -156164906767.9499, -29573850814.434296, 1334490811.414592, 158946128054.64197
 10327.011519950342, -139957073711.87067, -81916052008.20987, 589203401.739598, 162168336056.2424
 10350.369485661078, -106114466935.00111, -123989599512.09705, -230903419.89790857, 163198511624.5212
 10373.727451371815, -58500193767.91723, -150353396483.2658, -1317062594.9158201, 161338622650.67505
 10397.085417082555, -3472129913.527931, -157490333345.97656, -2233807352.9751096, 157544440329.87466
 10420.443382793295, 52563875076.09957, -142537793337.22763, -2956743353.5322194, 151949747692.19153
 10443.801348504036, 100432176026.91032, -105938344254.45377, -3227540883.801469, 146013601369.9822
 10467.159314214776, 131324887451.4682, -50602773747.815315, -2956256407.1065874, 140767916184.96716
 10490.517279925512, 137210272553.19942, 14177899798.131966, -2124775707.4396715, 137957190492.61646
 10513.875245636249, 115311202881.68097, 76903383388.59839, -816686021.9094503, 138605450335.4479
 10537.23321134699, 70480426274.70065, 124482618481.7924, 656013684.5835092, 143051889697.06537
 10560.59117705773, 11944720948.59658, 150178608011.6211, 2092033231.5170734, 150667406116.55118
 10583.949142768466, -48728300458.34743, 152508519139.03397, 3207518725.01619, 160136141616.7862
 10607.307108479203, -104219792784.67117, 134841654466.06796, 3972106770.5486956, 170469394964.08997
 10630.665074189943, -148563153503.1461, 102451735205.84534, 4307289644.773283, 180515709481.39655
 10654.023039900683, -180139459707.21268, 59946597972.464745, 4253264944.0701723, 189899736215.6232
 10677.38100561142, -197582219318.97922, 12639679345.088089, 3864049019.963111, 198023800993.18497
 10700.738971322156, -201468491260.6063, -36606263783.98923, 3115106235.7496853, 204790808890.21362
 10724.096937032897, -192705885687.26178, -83599578922.71228, 2169825817.082179, 210069407859.98154
 10747.454902743637, -172161103056.20505, -126628767296.4331, 943642074.7568965, 213717525188.99503
 10770.812868454374, -142100594019.37866, -162681544763.32373, -335132530.9493766, 216004574352.1532
 10794.17083416511, -103441463717.04303, -190459063925.78522, -1745715590.7836041, 216743717256.88974
 10817.52879987585, -59307842953.95104, -208159634942.17868, -3063968029.3531995, 216465336151.53375
 10840.88676558659, -10910172709.990227, -214719622674.35733, -4329722599.519993, 215040216535.8122
 10864.244731297327, 38067899119.0465, -209653893457.36758, -5360809985.301579, 213149380174.72546
 10887.602697008064, 85944311785.1286, -192385476565.99854, -6156328554.357639, 210799660111.24155
 10910.960662718804, 128872606845.80055, -164078612743.0167, -6598207002.385582, 208742607750.67328
 10934.318628429544, 164926142348.9789, -125132494142.57913, -6665564141.010292, 207130884384.18878
With respect to Earth
 10000.0, 0.0, 0.0, 0.0, 0.0
