Ux, Uy, Uz, Umag
 -0.10063986351379886, -0.9941646044611311, -0.03887569194590889, 1.0000014811567564
 0.6230227508665087, -0.7788453727307738, -0.07241755071273863, 1.0000008821859319
 0.9847675932259621, -0.15978957973048621, -0.06855725183506431, 1.0000000096188377
 0.8954740349573891, 0.44335875538338493, -0.039488777788139584, 1.000000048414585
 0.5456861934481744, 0.8379605737022743, -0.007005312104193862, 1.000000209598518
 0.09538768041379937, 0.9952403912135999, 0.01994746767045355, 1.0000000736720913
 -0.34136235342827975, 0.9390543621284169, 0.040604057214872924, 1.000000020416405
 -0.6904261973084054, 0.7213621444709593, 0.054298685768230354, 1.0000000123408217
 -0.909356938368778, 0.4115654388924511, 0.06069538154814564, 1.0000000405957234
 -0.9951999752125669, 0.08005240983665579, 0.05629378156086491, 1.000000184413069
 -0.9762265751356832, -0.21425020335137596, 0.03284278111741678, 1.0000000619543872
 -0.8993042643005046, -0.43590848442783464, -0.03517981403191226, 1.0000009929497886
 -0.7857413456805847, -0.5772570039919401, -0.22222749986473478, 1.000000086332905
 -0.30476936477513933, -0.5382741929853544, -0.7857387786703308, 1.0000044504130066
 0.7264967909741853, 0.1956959272386613, -0.6587208912749569, 1.0000038479104278
 0.8246523160999788, 0.46904271933752234, -0.3161451348215278, 1.000000130641951
 0.7524326682791871, 0.6394460507690012, -0.1579679661857293, 1.0000000252393322
 0.6050260143823365, 0.7934171090540302, -0.06658094342815107, 1.0000001045234008
 0.3974769431478014, 0.9175921834207175, -0.006092662013544731, 1.0000002279696396
 0.14844782421699435, 0.9882030167671502, 0.03765762465159862, 1.000000027778428
