With respect to sun
t, X, Y, Z, R
 10000.0, -81436915260.56427, -127543644341.09442, 7924183.770011434, 151325319896.4291
 10023.384018583347, -26712327175.41121, -149520159055.06177, 9010680.485953443, 151887545467.59106
 10046.768037166694, 31560988417.551826, -148258318476.1096, -141260454.81842625, 151580489977.3466
 10070.15205575004, 84961593840.67702, -124208521403.00069, -269763225.2459929, 150486883113.6639
 10093.536074333388, 124339858669.73703, -80307329637.34723, -357966008.80642843, 148019579066.94366
 10116.920092916738, 143165115570.5787, -23241325514.07496, -387037911.4817074, 145039854268.8639
 10140.304111500089, 136222079732.07256, 38047299686.106064, -240407336.78659347, 141435885883.4033
 10163.688130083436, 103676362996.35315, 92044026079.89566, -48892285.801164955, 138639436566.9585
 10187.072148666783, 50029672290.6444, 127996774766.38733, 505082041.4524571, 137427790377.25652
 10210.45616725013, -13833837258.183723, 137801016822.5926, 955850086.5701178, 138496963649.07916
 10233.840185833476, -75748555120.6385, 120203153614.42958, 1043002609.8708686, 142083530348.04126
 10257.224204416823, -123779418147.14917, 80216831176.08649, 936628750.0974602, 147502412299.57925
 10280.60822300017, -151099208120.79944, 27426349397.76301, 794150743.5351942, 153570198969.14993
 10303.992241583517, -156085176134.12814, -29582816929.86128, 533473648.532357, 158864753361.03088
 10327.376260166864, -139790715244.8423, -82085530917.88417, -107357918.87889093, 162109499969.79895
 10350.760278750215, -105825317817.90176, -124266414822.13895, -735193058.1230237, 163222793300.56982
 10374.144297333565, -58152988647.23793, -150634372964.1276, -1621147875.4984384, 161477901049.44983
 10397.528315916912, -3111614465.053978, -157747657561.67407, -2299211975.9473677, 157795094937.97537
 10420.912334500259, 52874026686.19789, -142778901242.21112, -2823846631.921912, 152280830861.09842
 10444.296353083606, 100681292450.77594, -106216611347.13354, -2918984231.0422645, 146380366322.01657
 10467.680371666953, 131556555403.15425, -50958508559.45073, -2548707048.500114, 141104191191.35294
 10491.0643902503, 137497129998.21036, 13765607100.555412, -1698131404.094501, 138194921566.81152
 10514.448408833647, 115673737554.653, 76522134133.03824, -459222652.2451861, 138694850148.02017
 10537.832427416994, 70844520923.66656, 124197788459.33424, 873082723.8769889, 142985310701.9602
 10561.21644600034, 12204122358.305252, 149963586146.16214, 2142087480.9504194, 150474603542.02606
 10584.600464583691, -48624495952.89753, 152259636113.8196, 3079976504.0582185, 159865020099.61923
 10607.984483167042, -104240832131.69237, 134445326349.65948, 3708177712.1759753, 170163002567.30072
 10631.368501750389, -148623051533.49188, 101839743083.42336, 3932191950.1585736, 180209896653.75638
 10654.752520333735, -180126137103.40964, 59093183195.843315, 3826727691.750981, 189610319900.6864
 10678.136538917082, -197400883082.01004, 11579104877.603844, 3417531473.826249, 197769724257.02203
 10701.52055750043, -201028338654.62866, -37812218365.42184, 2683966900.2947392, 204571162381.88678
 10724.904576083776, -191965629478.64395, -84863000508.38647, 1780228603.2755432, 209894499618.97128
 10748.288594667123, -171074369425.51846, -127828038786.12413, 595193568.3483102, 213557490221.32056
 10771.67261325047, -140684960635.773, -163719048295.11038, -623324844.6094472, 215862394727.77002
 10795.056631833817, -101733636501.05083, -191221961243.05798, -1986965931.2779987, 216609139444.71863
 10818.440650417167, -57376152981.22725, -208566260197.29562, -3245081943.6132193, 216338712163.20016
 10841.824669000518, -8845810033.294098, -214689115320.3674, -4466150144.093594, 214917684449.87662
 10865.208687583865, 40155010197.98818, -209142341708.5882, -5444224620.581379, 213031883813.36664
 10888.592706167212, 87927153323.76578, -191368199404.97653, -6205629854.533185, 210692861476.1671
 10911.976724750559, 130618565542.61386, -162573141957.15726, -6609245721.43881, 208650229521.17374
 10935.360743333906, 166317514803.9372, -123200149529.03635, -6659173781.8777075, 207084854999.0849
With respect to Earth
 10000.0, 0.0, 0.0, 0.0, 0.0
 10023.384018583347, -1679551.3640098572, 1648458.38180542, -300619.4722440578, 2372483.9067914058
 10046.768037166694, -544972766.1977005, 410833127.32199097, -150540163.88666525, 698885910.1064813
 10070.15205575004, -1078191821.7572937, 995801012.0363159, -277596407.0355722, 1493712497.5295353
 10093.536074333388, -2493322948.1433105, 2329445845.898041, -363147983.76023686, 3431450674.3968816
 10116.920092916738, -4890180155.573395, 4101345531.1479836, -388756467.27800745, 6394218381.528883
 10140.304111500089, -9851956621.723618, 5839498882.5214615, -238378335.9669772, 11455026001.993694
