 run, tof, wet mass
 0, 906.6259458967878, 603.0768916719064
 1, 906.6252134673506, 603.0766436183777
 2, 1580.9784180571469, 975.0996846819392
 3, 1615.1572927950676, 1006.9915228924796
 0, 1104.1153594470902, 576.6173188537806
 1, 1677.0634256250514, 655.0208941793926
 2, 1084.5569635214274, 588.9231575642144
 3, 1699.8268449358882, 641.989336155273
 0, 1112.251508671494, 576.0840725092228
 1, 1104.8421007852362, 575.1479514312028
 2, 921.7465833013588, 597.3681581262873
 3, 1778.8461050861238, 575.1628748924284
 0, 2913.006229811024, 742.6547194839352
 1, 541.3826261093793, 534.7085068471293
 2, 538.80705453279, 534.2553988267264
 3, 2271.305463693972, 534.1193015041008
 0, 1092.3248930608913, 592.55098957294
 1, 1695.9936109549953, 572.648881634531
 2, 2759.630648424634, 570.9232762422042
 3, 4000.0, 690.9152838114852
