With respect to sun
t, X, Y, Z, R
 9560.756391918258, -143205863770.79245, 38863315128.30184, -2308939.879585794, 148385567648.71597
 9579.203018230823, -148899821703.20966, -8333504076.761665, 497967.58661646675, 149132840761.82886
 9597.649644543388, -139636951063.84143, -55126694366.70758, -13285384.960809674, 150124717187.76855
 9616.09627085595, -116574403729.87057, -96490639924.91771, -25761231.77979747, 151327577994.6803
 9634.54289716851, -81985318634.60577, -128899003574.15643, -66799059.36739113, 152763051999.30563
 9652.989523481076, -39687669088.47844, -149229950101.43237, -101589805.17502525, 154417289852.66214
 9671.43614979364, 6672015386.058533, -156079978148.67108, -157238770.69214457, 156222597892.34222
 9689.882776106206, 52471115301.851814, -149232531042.2139, -199114965.25735033, 158188513834.1433
 9708.32940241877, 94257769906.97086, -129557930705.93608, -241229314.70887458, 160218110050.7114
 9726.776028731332, 128391003280.60931, -99322287376.96198, -263721860.38753557, 162324477644.04758
 9745.222655043894, 152733577439.6769, -60907377212.20047, -268486617.6715443, 164430308524.47772
 9763.669281356459, 165574978726.6966, -17882321944.299133, -253015027.69655403, 166538028795.4371
 9782.115907669024, 166450049875.18073, 26924279775.648968, -209943853.66597122, 168613700574.15045
 9800.562533981589, 155683663907.5864, 69867158548.89516, -152170142.1817859, 170642451362.89783
 9819.009160294154, 134244493469.94284, 108558775591.10889, -65272657.678459525, 172645868891.67694
 9837.455786606715, 104047168217.9352, 140189162784.37665, 25912145.309577547, 174581829661.03613
 9855.902412919277, 66946237184.65675, 163344209658.54816, 141982607.91253594, 176530874526.86853
 9874.349039231842, 25749791973.39508, 176544687183.75806, 249432569.1081106, 178412837475.58817
 9892.795665544407, -17430514728.776443, 179525369294.50574, 372584915.2783664, 180369952829.06143
 9911.242291856968, -59627287743.54416, 172239145241.2728, 474465718.7500951, 182268926904.21466
 9929.68891816953, -99035789112.717, 155448499169.6145, 578775036.2942128, 184316733911.5112
 9948.135544482095, -133146306257.96553, 130318608147.28604, 652084858.954695, 186309698390.2049
 9966.58217079466, -160873513807.70947, 98308600857.6264, 708526359.7035568, 188534799061.1436
 9985.028797107225, -180547239082.6772, 61362734500.302216, 729478984.3220496, 190691433644.30542
 10003.47542341979, -191974317347.6193, 21202665469.08001, 695968193.9304129, 193142889891.92722
 10021.922049732351, -194453495955.4896, -19957762056.395164, 629996511.3172231, 195476011958.54074
 10040.368676044913, -188628704789.57465, -60551052689.06963, 413984252.72468746, 198109539485.88263
 10058.815302357478, -174648799512.0951, -98538334679.03714, 180017279.42425907, 200529396793.97336
 10077.261928670043, -153562927263.73215, -132734665751.07457, -503276680.82218015, 202978613181.96368
 10095.708554982608, -126298796695.71925, -161602720005.38574, -1166494717.9101634, 205105304343.5314
 10114.155181295173, -93685802519.16689, -184061747206.82034, -2164678726.5857234, 206544044243.53925
 10132.601807607734, -57494210789.709755, -199500250863.78616, -3080383967.0718393, 207642536910.02182
 10151.048433920296, -18652261038.174744, -207163992174.2712, -4067587766.215589, 208041754861.02203
 10169.49506023286, 20887024197.23024, -207093808709.4269, -4902960047.57849, 208202191157.58734
 10187.941686545426, 60102865899.31109, -198918292485.2544, -5651713975.380976, 207876846823.83295
 10206.388312857991, 97068895773.10506, -183301074126.09918, -6189001596.116549, 207508934851.36578
 10224.834939170556, 130755964649.68556, -160295306717.10788, -6534583824.761458, 206964751667.43817
 10243.281565483117, 159486594975.2546, -131215981209.98108, -6632520056.909746, 206633971127.70282
 10261.728191795679, 182394677132.53873, -96556128119.74655, -6481357060.438001, 206477388866.44427
 10280.174818108244, 198344169397.19882, -58212174241.471176, -6082914563.0024, 206799585621.84036
 10298.621444420809, 206858519131.5691, -17010456498.838707, -5428256099.249322, 207627716193.87344
With respect to Earth
 9560.756391918258, 0.0, 0.0, 0.0, 0.0
 9579.203018230823, -757682.8651123047, -1043844.5355644226, 1970.143643656047, 1289844.4169660434
 9597.649644543388, -50928080.07095337, -425731868.8453827, -16547753.099843986, 429086380.1415153
 9616.09627085595, -155482751.00506592, -837202256.7663116, -31476923.575111967, 852099349.4378822
 9634.54289716851, -121666861.36959839, -1636013465.237976, -74418077.01677725, 1642218296.628793
 9652.989523481076, -289310083.0774689, -2638498869.8995667, -110382713.79306754, 2656607037.9594917
 9671.43614979364, -168615682.6347885, -4180000925.9407654, -166367432.35101703, 4186707192.0356603
 9689.882776106206, 40402651.84679413, -6479834387.766785, -207710198.05356565, 6483288486.064509
 9708.32940241877, 1225733409.714203, -9531223691.073563, -248469898.34580025, 9612927999.904896
 9726.776028731332, 3648466642.1431274, -13484288031.862976, -268909813.9064228, 13971744524.328
 9745.222655043894, 8303078898.041565, -17521429441.873398, -271113767.46920806, 19391109085.056545
 9763.669281356459, 15543052102.411499, -21169064093.89186, -252815630.4774576, 26263656619.225624
 9782.115907669024, 25659656949.342712, -22697973048.779987, -206927751.0137383, 34258703921.41585
 9800.562533981589, 38277794628.410995, -21092575423.73796, -146631115.32942796, 43704780062.42415
 9819.009160294154, 52192374900.06, -14450502500.953568, -57767924.0662974, 54155926336.56569
 9837.455786606715, 65820479876.22659, -2151954671.3070374, 34612548.623934984, 65855657904.78926
 9855.902412919277, 76527400528.16008, 16524510359.79773, 150973513.4211183, 78291284746.32571
 9874.349039231842, 82131882125.99911, 40642804463.54306, 257770401.4322828, 91638147415.80421
 9892.795665544407, 79842116965.10579, 68793353033.33354, 379391166.4161778, 105391807085.2552
 9911.242291856968, 68392267807.026764, 98233768731.59222, 479022976.7432953, 119697974410.6485
 9929.68891816953, 46507102468.29808, 125825158663.11395, 580602624.9890959, 134146256869.14534
 9948.135544482095, 15078086533.509995, 148110139691.47098, 650985194.0353954, 148877083376.3945
 9966.58217079466, -24860585616.44426, 161739987199.99518, 704598532.6051425, 163640974806.85974
 9985.028797107225, -70204759090.10315, 164170446449.35693, 723101146.0791503, 178552979705.03897
 10003.47542341979, -118067288181.74535, 153370979488.79044, 687753841.4469308, 193553648617.86694
 10021.922049732351, -164108371237.50436, 128843060385.56076, 620731455.7080027, 208644379333.07455
 10040.368676044913, -204748742885.29535, 90669910440.46085, 404551250.1385166, 223926872067.87836
