With respect to sun
t, X, Y, Z, R
 10000.0, -81436915260.56427, -127543644341.09442, 7924183.770011434, 151325319896.4291
 10023.357804539464, -26777714022.697327, -149508077810.76425, 9096356.91568284, 151887166612.89923
 10046.715609078929, 31406709353.281425, -148304059343.95874, -65173048.54413905, 151593138557.86545
 10070.073413618396, 84754080889.2143, -124360391032.83916, -129421969.97613934, 150495109007.77625
 10093.431218157864, 124080899687.85037, -80783306966.03369, -229722447.49653035, 148061018246.25446
 10116.789022697329, 142953203345.88452, -24000312122.731735, -292109450.7250446, 144954195029.9113
 10140.146827236793, 136164033178.71184, 37234538199.39285, -171776312.50021863, 141163324817.4501
 10163.50463177626, 103693506961.84467, 91296483304.59326, -19311295.717775196, 138157126572.4579
 10186.862436315729, 49961127607.33665, 127381258667.7609, 391790587.53989106, 136829283530.40541
 10210.220240855193, -14078346435.447334, 137168772808.03134, 721977561.3148696, 137891237298.15768
 10233.578045394657, -75937556894.15746, 119668692003.55937, 1236627401.6626396, 141734391169.63354
 10256.935849934125, -123810423566.66522, 79755552722.62082, 1521917525.9914546, 147283011263.36237
 10280.293654473593, -151120386500.67133, 27129601231.896385, 1537345239.0304909, 153543967349.7398
 10303.651459013057, -156127335668.15234, -29668328452.385067, 1325118156.9775178, 158926745999.92435
 10327.009263552522, -139872097241.2009, -82013811146.8789, 576205810.7114592, 162144382630.49442
 10350.36706809199, -105985481487.67671, -124074104143.9339, -245922836.5572207, 163178938847.31558
 10373.724872631457, -58339598480.60487, -150405232594.03336, -1329556062.5246828, 161328889111.24026
 10397.082677170922, -3299063848.781296, -157500056837.3288, -2242161661.0744123, 157550560186.10193
 10420.440481710386, 52724521687.034515, -142505342035.14105, -2960952129.1271076, 151975047074.14996
 10443.79828624985, 100560816036.57434, -105879737431.08435, -3227216571.9073668, 146059616072.4076
 10467.156090789314, 131416233142.2043, -50544397529.15972, -2952247832.885746, 140832092301.92776
 10490.513895328782, 137280990958.66579, 14212941077.3974, -2118601051.6527057, 138031035072.11307
 10513.87169986825, 115390351473.91737, 76912875496.87477, -810143011.6106063, 138676529961.53027
 10537.229504407715, 70587089464.33255, 124487002777.40822, 661370666.516026, 143108310278.28766
 10560.587308947179, 12076042020.184906, 150203520494.54095, 2095659647.3177488, 150702754285.33035
 10583.945113486647, -48590418762.087456, 152566958305.58173, 3209056622.3463473, 160149941013.0942
 10607.302918026115, -104094590951.68225, 134932576224.31793, 3972225312.4914107, 170464842609.44427
 10630.660722565579, -148463508089.15796, 102564794220.53772, 4305948124.052957, 180497898704.90945
 10654.018527105043, -180070961170.57083, 60069211778.254234, 4251113433.1430745, 189873466355.82193
 10677.376331644511, -197544783322.99426, 12760372628.018402, 3861124982.115421, 197994133281.4236
 10700.734136183979, -201456191439.37955, -36496692411.435135, 3112218630.0125065, 204759106100.40237
 10724.091940723443, -192713901888.39285, -83507031834.94449, 2167068791.8672104, 210039921286.59784
 10747.449745262908, -172180752544.31888, -126554331689.96725, 941269477.7239132, 213689251962.87228
 10770.807549802375, -142127185146.64963, -162626717676.07788, -337009901.03040123, 215980785338.5994
 10794.165354341843, -103469585987.99991, -190420383092.0857, -1746982168.2790272, 216723163201.72394
 10817.523158881308, -59334523606.34488, -208136470193.13687, -3064532859.642375, 216450380636.529
 10840.880963420772, -10933645193.62024, -214707424115.629, -4329837316.618654, 215029230707.77365
 10864.23876796024, 38049013258.49719, -209651729586.33414, -5360437056.317827, 213143870223.66232
 10887.596572499708, 85929093613.75684, -192389280165.10107, -6155983001.790594, 210796917383.64172
 10910.954377039172, 128861828736.44174, -164087888195.85583, -6597900396.143187, 208743235213.7744
 10934.312181578636, 164917472544.96085, -125144401312.50679, -6665601162.205433, 207131176237.03406
With respect to Earth
 10000.0, 0.0, 0.0, 0.0, 0.0
 10023.357804539464, -1749172.8291893005, 1596378.4918823242, -214163.20710514858, 2377792.201811619
 10046.715609078929, -569537461.3926315, 393010807.91430664, -74454452.01756114, 695969741.0751811
