With respect to sun
t, X, Y, Z, R
 9497.0, -26071582183.647785, 144774313824.27957, -8544200.723543694, 147103125098.86746
 9522.722648573555, -87421475820.32079, 118552892862.32784, -6960967.380341935, 147300043751.1292
 9548.445297147111, -131722475765.69125, 68127907566.21636, -2579801.11446559, 148297749200.21347
 9574.167945720663, -150052847093.84265, 4198598265.382019, 2315164.02802001, 150111575681.96457
 9599.890594294215, -139893787254.5356, -61247293143.430435, -23449740.38658129, 152713794988.22266
 9625.61324286777, -104350119130.04443, -115703183780.61598, -45008157.61130733, 155808138828.3671
 9651.335891441326, -50463238021.51266, -150944412395.45718, -104019790.31462085, 159156416286.43964
 9677.058540014881, 11623396551.129799, -162000058474.3763, -146424839.56393373, 162416574687.80643
 9702.781188588437, 72697252716.17004, -148549544545.78458, -195207279.6348526, 165384085821.82492
 9728.503837161992, 123421386728.43787, -113780894841.69025, -216057286.4825856, 167865950727.64886
 9754.226485735548, 157731413076.2208, -62900812863.56021, -200179567.96947446, 169810927215.46942
 9779.9491343091, 171157909308.81677, -3649265828.1844025, -157758231.3571311, 171196880659.98593
 9805.671782882651, 162505890268.47272, 56773432787.23365, -53158890.498279214, 172137706120.02203
 9831.394431456207, 133176225422.68524, 109990651526.08984, 58234208.33747816, 172724792175.85016
 9857.117080029762, 86696043008.76834, 149941173646.3742, 221936676.60824004, 173201064326.172
 9882.839728603318, 29383617052.613266, 171178727067.5756, 357959621.0873487, 173682704051.5563
 9908.562377176873, -32235119507.113476, 171467135757.36108, 502830747.7414029, 174471586263.29977
 9934.285025750425, -89938411677.25754, 150815131633.61148, 586343455.6145306, 175597453350.95084
 9960.007674323977, -137577153535.96524, 111879850507.35979, 613140595.053689, 177327240056.33493
 9985.730322897532, -169235369576.84717, 59897457236.99568, 568594260.7423307, 179523366163.58084
 10011.452971471088, -182362010567.18933, 573820576.214653, 396708929.00761855, 182363344853.44284
 10037.175620044643, -175961954091.82538, -58865202867.17108, 182162995.09689876, 185547176156.80292
 10062.898268618199, -151622367599.88748, -113102455224.9081, -214014124.56999415, 189160126708.94272
 10088.62091719175, -112682866888.67528, -156517862650.89267, -589993524.1077935, 192861654849.8252
 10114.343565765303, -62978831231.779564, -186303846909.18045, -1122469679.0884428, 196663968470.74146
 10140.066214338858, -7839802880.595436, -200158777488.25717, -1559255119.5663664, 200318321656.62762
 10165.788862912414, 48731267723.38202, -197892465250.89423, -2031254637.0112154, 203814352420.05087
 10191.51151148597, 101586862985.84778, -180387797527.21643, -2347161684.6786184, 207039023848.1612
 10217.234160059525, 147716808255.44598, -149264442969.80658, -2532169999.996009, 210015573853.8733
 10242.956808633076, 183469668878.17386, -107617605758.89963, -2539000142.1064935, 212718393631.73633
 10268.679457206628, 207278035282.6568, -58009269843.625656, -2287300802.6567965, 215254479728.97272
 10294.402105780184, 217539630029.63937, -4588505260.049538, -1885919831.9604614, 217596189552.03802
 10320.12475435374, 214219540791.83994, 49921882967.77152, -1170366989.873224, 219962669139.57385
 10345.847402927295, 197766824742.95337, 101390011541.17743, -382836045.7230406, 222242655610.18665
 10371.57005150085, 169510543550.3468, 147643320120.0653, 711829269.6645545, 224795198017.48273
 10397.292700074406, 131507363764.40984, 185430498233.94812, 1765964826.9061925, 227336259825.23096
 10423.015348647961, 86062882368.17848, 213713909055.21228, 3076227977.308061, 230412494938.41876
 10448.737997221513, 36009007620.14622, 230601653633.3412, 4222783578.900997, 233434365913.36212
 10474.460645795065, -15873870743.218842, 236487696591.55127, 5485166301.020861, 237083313332.88702
 10500.18329436862, -66997456786.44607, 230782194368.14752, 6479101743.991835, 240397710497.91245
 10525.905942942176, -114744077706.56502, 215082075099.29477, 7320741029.950011, 243885414994.37088
With respect to Earth
 9497.0, 0.0, 0.0, 0.0, 0.0
 9522.722648573555, -1766686.1006011963, 95415.99108886719, 54573.84688041266, 1770102.340029033
 9548.445297147111, -551389673.3865509, -306497020.09749603, 1480798.554400051, 630851161.5352157
