With respect to sun
t, X, Y, Z, R
 9560.734329687577, -143190057402.61096, 38918326905.291595, -2312202.9169163043, 148384732076.50592
 9579.180951383092, -148902045306.97427, -8276592413.6820755, 498726.2432178939, 149131891555.19742
 9597.627573078607, -139656441509.01242, -55073631072.53655, -13007869.210149802, 150123371477.19116
 9616.074194774119, -116608886747.71393, -96446524633.55148, -25234240.94594858, 151326022941.19257
 9634.52081646963, -82031004338.51929, -128867668403.39384, -66489454.44072891, 152761140521.27524
 9652.967438165146, -39739998986.45903, -149213900056.32632, -101526509.61927319, 154415238228.2761
 9671.414059860661, 6617940524.82811, -156079991748.41672, -157699578.20340872, 156220311835.9868
 9689.860681556176, 52420016249.24888, -149248030222.1297, -200059116.56442276, 158186196150.00348
 9708.307303251691, 94213726199.67288, -129587011883.19928, -243195731.98805723, 160215726435.97574
 9726.753924947203, 128357272312.90823, -99362128765.55692, -266550095.6987539, 162322188986.55447
 9745.200546642714, 152711988744.1778, -60954281293.47346, -272342968.61621284, 164427643919.44052
 9763.64716833823, 165566617350.47186, -17932539628.497215, -257608329.8249766, 166535122783.32397
 9782.093790033745, 166455216484.18118, 26874431410.281075, -215066657.56588975, 168610854965.17926
 9800.54041172926, 155701424501.06778, 69821075249.91193, -157463628.63311076, 170639798802.94608
 9818.987033424775, 134273059389.22765, 108519300116.1908, -70085058.13105473, 172643267715.15393
 9837.433655120287, 104084292608.70816, 140158558634.22366, 21894891.075768843, 174579385970.00662
 9855.880276815798, 66989365615.11328, 163324125743.66382, 138642868.23116246, 176528650301.56534
 9874.326898511314, 25796142328.23063, 176535984283.92667, 246973956.12670064, 178410918113.90958
 9892.773520206829, -17383763101.266388, 179528238310.79, 370617598.8402181, 180368292468.33084
 9911.22014190234, -59582784414.00199, 172253149163.2825, 473101806.69140065, 182267603870.0048
 9929.666763597852, -98995910570.30693, 155473171601.4076, 577846711.1831084, 184316117863.48627
 9948.113385293367, -133113144871.01968, 130352556773.56042, 651641532.8836546, 186309750232.09265
 9966.560006988882, -160848626712.29453, 98349338371.75394, 708692797.7547293, 188534811954.913
 9985.006628684398, -180531883004.86624, 61408225675.96387, 730247057.0773896, 190691542084.90002
 10003.453250379913, -191969107135.32318, 21250380186.919003, 697750508.477924, 193142961580.77795
 10021.899872075424, -194458695096.00525, -19910046496.920517, 632710322.6201847, 195476326884.62054
 10040.346493770936, -188644081510.54742, -60505265283.31976, 416769954.4756788, 198110197398.21045
 10058.793115466451, -174673778131.172, -98496484657.805, 182754660.70640224, 200530595311.1124
 10077.239737161966, -153594911812.61285, -132698078412.20743, -501671904.3021401, 202978887137.8406
 10095.686358857482, -126336536236.16049, -161572892256.37805, -1166087372.1432407, 205105045427.9497
 10114.132980552997, -93727988726.97337, -184040987753.011, -2165999952.8534966, 206544698793.51382
 10132.579602248508, -57539268577.94876, -199489429276.99756, -3083384536.04584, 207644665430.9825
 10151.02622394402, -18698959511.60026, -207162457200.94193, -4071319408.1224656, 208044491400.44904
 10169.472845639535, 20840402857.078354, -207101927672.98, -4907289605.55933, 208205697156.39963
 10187.91946733505, 60057501569.50476, -198935183838.5771, -5655479785.073282, 207880002201.41165
 10206.366089030565, 97026587174.01027, -183326446805.19223, -6192072453.694183, 207511653836.898
 10224.81271072608, 130718319266.52402, -160328388441.5654, -6536949525.531374, 206966670846.37985
 10243.259332421592, 159455175979.99658, -131255690704.43979, -6634097922.046435, 206634993997.5089
 10261.705954117104, 182371065187.53845, -96601162744.1836, -6482491015.579862, 206477632568.1131
 10280.152575812619, 198329291940.44168, -58260833342.5743, -6083562355.501217, 206799038862.13165
 10298.599197508134, 206852915578.45612, -17060853815.036934, -5429174932.695934, 207626292546.6227
With respect to Earth
 9560.734329687577, 0.00115966796875, 0.00408172607421875, -2.421438694000244e-07, 0.004243267326169259
 9579.180951383092, -742866.6658325195, -1052776.0602226257, 6118.181314101443, 1288497.4770350116
 9597.627573078607, -50625984.25897217, -425776913.64369965, -16267062.503285041, 429084592.82131064
 9616.074194774119, -154828000.4854889, -837208510.5271759, -30947283.237213317, 851966862.1332824
 9634.52081646963, -120487022.52815247, -1635646373.6953583, -74106600.70395374, 1641751494.7909658
